-0.2047,-0.80635,-0.55489,1
-0.29151,-0.76113,-0.5794,1
-0.29234,-0.75897,-0.58181,1
-0.36964,-0.78503,-0.49708,1
-0.3004,-0.75951,-0.57698,1
-0.31226,-0.76007,-0.56991,1
-0.29796,-0.75799,-0.58023,1
-0.36601,-0.78489,-0.49998,1
-0.29796,-0.75799,-0.58023,1
-0.36039,-0.78861,-0.4982,1
-0.3051,-0.75909,-0.57506,1
-0.37048,-0.7803,-0.50386,1
-0.2819,-0.79832,-0.53218,1
-0.3738,-0.77171,-0.51453,1
-0.3634,-0.78455,-0.50241,1
-0.29075,-0.79438,-0.53332,1
-0.35242,-0.79059,-0.50077,1
-0.36633,-0.77731,-0.51147,1
-0.2946,-0.79425,-0.53139,1
-0.36171,-0.76187,-0.53733,1
-0.36549,-0.76669,-0.52782,1
-0.36456,-0.78239,-0.50494,1
-0.3114,-0.79269,-0.52409,1
-0.35806,-0.76365,-0.53725,1
-0.36737,-0.77799,-0.50967,1
-0.31537,-0.79115,-0.52404,1
-0.36538,-0.76451,-0.53106,1
-0.34155,-0.78451,-0.51758,1
-0.35802,-0.76612,-0.53374,1
-0.36384,-0.77289,-0.51987,1
-0.3573,-0.77868,-0.51575,1
-0.36137,-0.77645,-0.51626,1
-0.21419,-0.80612,-0.55162,1
-0.21177,-0.80912,-0.54816,1
-0.21657,-0.81044,-0.54433,1
-0.22031,-0.81553,-0.53514,1
-0.25922,-0.79591,-0.54711,1
-0.21841,-0.80829,-0.54678,1
-0.22805,-0.82072,-0.52385,1
-0.27331,-0.79658,-0.53922,1
-0.27626,-0.79643,-0.53794,1
-0.23722,-0.84229,-0.48403,1
-0.23091,-0.82798,-0.511,1
-0.28503,-0.79572,-0.53441,1
-0.24293,-0.84367,-0.47875,1
-0.29392,-0.79161,-0.53569,1
-0.23242,-0.84209,-0.48668,1
-0.29834,-0.7923,-0.53222,1
-0.23722,-0.84229,-0.48403,1
-0.23722,-0.84229,-0.48403,1
-0.23037,-0.83605,-0.49794,1
-0.33484,-0.78894,-0.51522,1
-0.23371,-0.83895,-0.49147,1
-0.23169,-0.83399,-0.50077,1
-0.23371,-0.83895,-0.49147,1
-0.23169,-0.83399,-0.50077,1
-0.23129,-0.79664,-0.55845,1
-0.23129,-0.79664,-0.55845,1
-0.22325,-0.81649,-0.53245,1
-0.24109,-0.79672,-0.55418,1
-0.2599,-0.79252,-0.55169,1
-0.23498,-0.80202,-0.54914,1
-0.22953,-0.81517,-0.5318,1
-0.26976,-0.795,-0.54333,1
-0.27383,-0.79164,-0.54619,1
-0.34921,-0.78442,-0.51258,1
-0.31363,-0.79498,-0.51928,1
-0.29052,-0.78997,-0.53995,1
-0.32385,-0.79035,-0.52007,1
